id	region	mode	port	equiv	rip	deep	directed	diverged_state	outputs
829	host	cnot1	A[0]	equivalent	not_activated	survived	survived		
832	host	const0	A[0]	equivalent	not_activated	survived	survived		
833	host	const1	B[0]	not_proven	not_activated	killed	survived		
851	host	cnot0	A[1]	equivalent	not_activated	survived	survived		
852	host	cnot1	Q[7]	not_proven	not_activated	survived	killed		
855	host	cnot1	A[7]	equivalent	not_activated	survived	survived		
856	host	const0	B[0]	not_proven	not_activated	killed	survived		
861	host	const0	B[0]	equivalent	not_activated	survived	survived		
867	host	const1	A[0]	not_proven	not_activated	survived	survived		
915	host	cnot1	Q[2]	equivalent	not_activated	survived	survived		
932	host	const0	Y[8]	not_proven	not_activated	survived	survived		
952	mover	const0	A[12]	not_proven	internal_only	survived	killed	route_remaining_2:5	
955	mover	cnot1	B[9]	not_proven	not_activated	survived	survived		
956	mover	const1	B[0]	equivalent	not_activated	survived	survived		
959	mover	cnot1	A[9]	not_proven	not_activated	survived	survived		
962	mover	const0	B[7]	not_proven	not_activated	survived	survived		
964	mover	const1	Q[1]	not_proven	internal_only	survived	survived	dma_round_robin:288579,pc_0:8,completed_instructions_1:8,_5884:8,_5872:8,pc:4	
968	mover	const1	Y[0]	not_proven	internal_only	survived	survived	dma_round_robin:50103	
970	mover	const1	A[1]	not_proven	not_activated	killed	survived		
979	mover	const1	A[0]	not_proven	internal_only	survived	survived	dma_round_robin:293756	
981	mover	const0	Q[11]	not_proven	internal_only	survived	survived	route_remaining_2:5	
985	mover	cnot1	Y[3]	not_proven	not_activated	survived	survived		
989	mover	cnot1	Y[3]	not_proven	not_activated	survived	survived		
990	mover	const0	B[1]	not_proven	not_activated	survived	survived		
995	mover	const1	Y[0]	not_proven	internal_only	survived	survived	pc_0:8,completed_instructions_1:8,_5884:8,_5872:8,pc:4,dma_round_robin:4	
996	mover	cnot0	A[1]	not_proven	internal_only	survived	survived	dma_round_robin:146957	
997	mover	const0	A[10]	not_proven	internal_only	survived	survived	route_remaining_3:5	
998	mover	inv	B[0]	not_proven	internal_only	survived	survived	_5841[0]:1,route_remaining_0:1,dma_round_robin:1,_5418:1,_3561:1,_3252:1	
1000	mover	const0	A[10]	not_proven	not_activated	survived	survived		
1005	mover	cnot1	A[4]	not_proven	not_activated	survived	survived		
1008	mover	const0	A[0]	not_proven	not_activated	survived	survived		
1016	mover	cnot1	A[13]	equivalent	not_activated	survived	survived		
1022	mover	inv	Y[0]	not_proven	not_activated	survived	survived		
1024	mover	const1	B[0]	not_proven	not_activated	survived	survived		
1032	mover	cnot1	Y[1]	not_proven	not_activated	survived	survived		
1036	mover	cnot1	B[14]	not_proven	not_activated	survived	survived		
1037	mover	const1	Y[0]	not_proven	internal_only	survived	survived	_5841[0]:1,route_remaining_0:1,dma_round_robin:1,_5418:1,_3561:1,_3252:1	
1038	mover	const0	Q[7]	not_proven	internal_only	survived	survived	route_remaining_0:5	
1040	mover	const0	B[0]	equivalent	not_activated	survived	survived		
1041	mover	const0	Y[10]	not_proven	not_activated	survived	survived		
1042	mover	const1	B[0]	not_proven	not_activated	survived	survived		
1045	mover	const0	A[0]	not_proven	not_activated	killed	survived		
1054	mover	const0	B[0]	not_proven	not_activated	survived	survived		
1059	mover	const0	B[0]	not_proven	not_activated	killed	survived		
1063	mover	inv	Y[0]	not_proven	internal_only	survived	survived	route_remaining_3:1137	
1071	mover	const0	Q[14]	not_proven	internal_only	survived	survived	route_remaining_0:5	
1084	mover	const1	A[0]	not_proven	not_activated	survived	survived		
1093	mover	const0	Y[0]	not_proven	not_activated	survived	survived		
1098	mover	const1	B[0]	not_proven	not_activated	survived	survived		
1101	mover	const0	Y[0]	not_proven	not_activated	survived	survived		
1103	mover	const1	Y[0]	not_proven	not_activated	survived	survived		
1104	mover	cnot1	Y[10]	not_proven	not_activated	survived	survived		
1105	mover	const0	B[0]	not_proven	not_activated	survived	survived		
1111	mover	inv	Y[0]	not_proven	internal_only	killed	survived	route_remaining_1:1079	
1112	mover	const0	A[0]	not_proven	not_activated	killed	survived		
1113	mover	const1	Y[0]	not_proven	not_activated	survived	survived		
1114	mover	const0	B[0]	not_proven	not_activated	killed	survived		
1116	mover	const1	B[0]	not_proven	not_activated	survived	survived		
1124	mover	const1	B[0]	equivalent	not_activated	survived	survived		
1126	mover	cnot1	Y[10]	not_proven	not_activated	survived	survived		
1127	mover	const0	Y[0]	not_proven	internal_only	killed	survived	route_remaining_0:2216	
1130	mover	const1	Y[0]	not_proven	not_activated	survived	survived		
1131	mover	const1	Y[0]	not_proven	not_activated	survived	survived		
1133	mover	const0	B[12]	not_proven	not_activated	survived	survived		
1137	mover	cnot1	A[0]	equivalent	not_activated	survived	survived		
1138	mover	const0	Y[0]	not_proven	not_activated	survived	survived		
1152	mover	const0	Y[0]	not_proven	not_activated	survived	killed		
1155	mover	const1	B[0]	not_proven	not_activated	survived	survived		
1158	mover	const0	Y[0]	not_proven	internal_only	killed	survived	route_remaining_0:2216	
1159	mover	const0	A[0]	not_proven	not_activated	killed	survived		
1161	mover	const1	B[0]	not_proven	not_activated	survived	survived		
1163	mover	const0	B[0]	not_proven	not_activated	survived	survived		
1165	mover	const0	Y[0]	not_proven	not_activated	survived	survived		
1171	mover	const1	Y[0]	not_proven	not_activated	survived	survived		
1173	mover	cnot1	Q[10]	not_proven	not_activated	survived	survived		
1175	mover	const0	A[0]	not_proven	internal_only	killed	survived	route_remaining_0:1137	
1176	mover	const0	A[0]	equivalent	not_activated	survived	survived		
1179	mover	inv	A[0]	not_proven	internal_only	survived	survived	dma_round_robin:170674	
1183	mover	const0	Y[0]	not_proven	not_activated	survived	survived		
1191	mover	const0	A[0]	not_proven	not_activated	survived	survived		
1192	mover	const1	Y[0]	not_proven	not_activated	survived	survived		
1203	events	cnot1	B[2]	not_proven	not_activated	survived	survived		
1204	events	const1	A[0]	not_proven	not_activated	survived	survived		
1210	events	const0	A[8]	not_proven	not_activated	survived	survived		
1216	events	inv	B[3]	not_proven	not_activated	killed	survived		
1218	events	const0	A[23]	not_proven	not_activated	survived	survived		
1219	events	cnot1	A[4]	equivalent	not_activated	survived	survived		
1220	events	const1	B[3]	not_proven	not_activated	survived	survived		
1222	events	cnot1	A[2]	equivalent	not_activated	survived	survived		
1225	events	const1	B[0]	not_proven	not_activated	survived	survived		
1228	events	cnot1	A[1]	equivalent	not_activated	survived	survived		
1233	events	const0	A[3]	not_proven	not_activated	survived	survived		
1238	events	cnot1	B[0]	not_proven	internal_only	killed	survived	mailbox_0:13	
1241	events	const0	A[13]	not_proven	not_activated	survived	survived		
1244	events	const0	Q[4]	not_proven	internal_only	killed	survived	_3813:165657	
1245	events	inv	A[2]	equivalent	not_activated	survived	survived		
1248	events	cnot1	A[6]	equivalent	not_activated	survived	survived		
1252	events	cnot0	A[2]	equivalent	not_activated	survived	survived		
1257	events	cnot1	A[6]	equivalent	not_activated	survived	survived		
1261	events	cnot1	A[1]	equivalent	not_activated	survived	survived		
1266	events	inv	A[1]	not_proven	internal_only	killed	survived	logical_output_0:7059	
1267	events	cnot1	A[1]	equivalent	not_activated	survived	survived		
1271	events	cnot0	Y[6]	not_proven	internal_only	killed	survived	logical_output_0:204	
1280	events	cnot0	A[3]	equivalent	not_activated	survived	survived		
1281	events	cnot1	A[4]	equivalent	not_activated	survived	survived		
1282	events	const1	Y[0]	not_proven	not_activated	survived	survived		
1287	events	const0	A[2]	not_proven	internal_only	survived	survived	repeat_count_2:12320	
1290	events	const1	Y[3]	not_proven	internal_only	survived	survived	logical_output_1:3250	
1291	events	cnot0	B[6]	not_proven	not_activated	killed	survived		
1295	events	const0	A[2]	not_proven	not_activated	killed	survived		
1302	events	const1	A[7]	not_proven	not_activated	survived	survived		
1311	events	cnot0	A[0]	equivalent	not_activated	survived	survived		
1314	events	const0	A[6]	not_proven	not_activated	survived	survived		
1317	events	cnot1	A[0]	equivalent	not_activated	survived	survived		
1327	events	cnot1	A[2]	equivalent	not_activated	survived	survived		
1332	events	const1	A[3]	equivalent	not_activated	survived	survived		
1333	events	const1	A[4]	not_proven	not_activated	killed	survived		
1337	events	const1	A[0]	not_proven	internal_only	killed	survived	logical_output_1:1426	
1342	events	const1	A[4]	equivalent	not_activated	survived	survived		
1343	events	const0	A[5]	not_proven	not_activated	survived	survived		
1344	events	const0	B[1]	equivalent	not_activated	survived	survived		
1345	events	const1	B[2]	equivalent	not_activated	survived	survived		
1348	events	const0	B[3]	not_proven	not_activated	survived	survived		
1349	events	const0	A[6]	equivalent	not_activated	survived	survived		
1351	events	cnot0	A[0]	not_proven	not_activated	killed	survived		
1356	events	cnot1	Y[3]	not_proven	internal_only	killed	survived	logical_output_2:8461	
